Date,ASHOKLEY.NS,BAJAJHFL.NS,BANKBARODA.NS,CENTRALBK.NS,DLF.NS,EASEMYTRIP.NS,HINDALCO.NS,IDFCFIRSTB.NS,IOB.NS,IRFC.NS,ITC.NS,JIOFIN.NS,NBCC.NS,NHPC.NS,OLAELEC.NS,OMINFRAL.NS,PNB.NS,RVNL.NS,RAMASTEEL.NS,RTNINDIA.NS,RECLTD.NS,RPOWER.NS,SBISENSEX.BO,SETFNIF50.NS,SJVN.NS,SUZLON.NS,TATACHEM.NS,TATAMOTORS.NS,TATAPOWER.NS,TATASTEEL.NS,UCOBANK.NS,IDEA.NS
2015-03-17,56.56938934326172,,162.35488891601562,106.67528533935547,149.01913452148438,,125.1817855834961,,43.70000076293945,,166.6492462158203,,43.5051155090332,11.308013916015625,,33.477821350097656,156.06773376464844,,,2.4000000953674316,59.0864143371582,56.770957946777344,,,13.416158676147461,24.42449188232422,137.25106811523438,561.7658081054688,66.4302978515625,11.391536712646484,64.56365966796875,105.2640609741211
2015-03-18,55.86178970336914,,162.2213592529297,105.28214263916016,148.5675811767578,,124.15606689453125,,44.04999923706055,,165.0072784423828,,42.8861083984375,11.395445823669434,,34.68339920043945,156.95236206054688,,,2.3499999046325684,59.98466110229492,56.86892318725586,,,13.362919807434082,27.087312698364258,139.03564453125,550.610107421875,66.2653579711914,11.364131927490234,65.09246826171875,104.48896026611328
2015-03-19,55.70454406738281,,157.103271484375,104.98360443115234,148.07083129882812,,123.3635025024414,,43.45000076293945,,163.3897705078125,,42.48406982421875,11.541168212890625,,34.2197151184082,150.80650329589844,,,2.25,58.75819396972656,55.59537124633789,,,13.30968189239502,26.30682945251465,138.03184509277344,544.3197021484375,65.811767578125,11.530269622802734,63.602176666259766,104.45915222167969
2015-03-20,54.2893180847168,,153.67636108398438,103.09290313720703,144.41310119628906,,123.1303939819336,,43.099998474121094,,160.49794006347656,,40.88655471801758,11.482878684997559,,33.57056427001953,151.64459228515625,,,2.25,57.713104248046875,55.546390533447266,,,13.30968189239502,24.791776657104492,135.46653747558594,538.2258911132812,65.11076354980469,11.259654998779297,62.78491973876953,104.22066497802734
2015-03-23,53.935523986816406,,151.0060577392578,102.64511108398438,143.9163818359375,,126.72032928466797,,42.599998474121094,,160.47341918945312,,40.78657913208008,11.424593925476074,,32.59683609008789,151.8773956298828,,,2.1500000953674316,56.91849136352539,55.0075798034668,,,13.149969100952148,25.067241668701172,133.6182403564453,542.0099487304688,64.9458236694336,11.352144241333008,62.736839294433594,102.19348907470703
2015-03-24,52.992042541503906,,149.44839477539062,103.7397232055664,144.59375,,123.87632751464844,,41.650001525878906,,160.05679321289062,,40.49515914916992,11.278871536254883,,32.040409088134766,150.57369995117188,,,2.25,57.998138427734375,54.811649322509766,,,12.830533027648926,24.745866775512695,133.18804931640625,523.138671875,64.61593627929688,11.206560134887695,62.4964714050293,101.29914093017578
2015-03-25,52.992042541503906,,147.62367248535156,105.13287353515625,149.06431579589844,,123.92298126220703,,41.400001525878906,,160.15481567382812,,39.00400161743164,11.366304397583008,,35.23981857299805,144.80032348632812,,,2.0999999046325684,57.46262741088867,54.32182312011719,,,13.016868591308594,24.42449188232422,133.42701721191406,532.5742797851562,63.791236877441406,11.069540023803711,62.304176330566406,103.3263168334961
2015-03-26,53.81757354736328,,143.30667114257812,106.87430572509766,143.8712158203125,,120.79925537109375,,42.900001525878906,,158.02268981933594,,39.203956604003906,11.366304397583008,,34.126976013183594,137.95606994628906,,,2.0,56.547088623046875,53.63606262207031,,,12.910392761230469,24.14902687072754,134.3034210205078,515.2755737304688,62.842811584472656,10.8109130859375,60.95809555053711,107.64897155761719
2015-03-27,54.72174072265625,,143.2621612548828,104.23727416992188,139.94253540039062,,124.90204620361328,,41.599998474121094,,155.62098693847656,,38.83382797241211,11.512024879455566,,34.31244659423828,136.6523895263672,,,1.9500000476837158,55.34654235839844,53.73402786254883,,,13.070107460021973,24.562223434448242,135.99234008789062,526.1854858398438,61.770687103271484,10.793785095214844,61.294612884521484,102.73009490966797
2015-03-30,58.259796142578125,,145.84347534179688,104.33678436279297,144.05186462402344,,122.29116821289062,,42.70000076293945,,160.5469207763672,,40.73978805541992,11.570313453674316,,34.35881805419922,138.32852172851562,,,2.049999952316284,56.547088623046875,55.350460052490234,,,13.229825019836426,25.34270477294922,140.53343200683594,530.7559814453125,61.31709671020508,11.04384708404541,61.91957473754883,109.10973358154297
2015-03-31,57.63080978393555,,145.53192138671875,106.07821655273438,142.9228973388672,,120.28640747070312,,42.349998474121094,,159.7136993408203,,40.71425247192383,11.541168212890625,,35.74986267089844,134.46409606933594,,,2.0999999046325684,57.55763626098633,55.350460052490234,,,13.016868591308594,25.11315155029297,141.3459930419922,540.7813720703125,63.58506393432617,10.85030746459961,61.43883514404297,109.7059555053711
2015-04-01,58.22048568725586,,150.33848571777344,105.77969360351562,144.2324676513672,,123.27025604248047,,42.79999923706055,,162.94863891601562,,41.5523681640625,11.686888694763184,,34.63702392578125,141.49459838867188,,,2.049999952316284,58.317710876464844,56.13418197631836,,,13.25644588470459,24.286758422851562,140.5652618408203,555.229736328125,63.91493225097656,11.08666706085205,63.16950225830078,113.07465362548828
2015-04-06,57.984615325927734,,149.98243713378906,105.33189392089844,151.23187255859375,,125.60137939453125,,42.5,,167.1393585205078,,41.82251739501953,11.686888694763184,,37.28001403808594,138.42164611816406,,,2.1500000953674316,58.05860137939453,55.49740982055664,,,13.30968189239502,25.34270477294922,139.3861541748047,564.4137573242188,63.70874786376953,10.896551132202148,62.5445442199707,115.39994049072266
2015-04-07,57.670108795166016,,151.3621063232422,103.39144134521484,146.2645721435547,,127.69940185546875,,42.75,,166.94334411621094,,41.896968841552734,11.686888694763184,,40.15483856201172,140.23748779296875,,,2.299999952316284,55.49336624145508,56.67298889160156,,,13.362919807434082,26.9954891204834,145.568359375,556.6649780273438,64.65717315673828,11.424078941345215,62.736839294433594,117.5463638305664
2015-04-08,57.591495513916016,,150.29397583007812,103.39144134521484,146.17425537109375,,128.63185119628906,,43.25,,169.712646484375,,42.48832321166992,11.832612037658691,,42.47325134277344,142.28611755371094,,,2.700000047683716,57.05668640136719,56.917903900146484,,,13.33630084991455,26.123186111450195,143.0986785888672,557.8074951171875,63.791236877441406,11.513142585754395,64.65980529785156,114.59503936767578
2015-04-09,59.20328140258789,,152.87527465820312,107.32209777832031,143.8712158203125,,130.45013427734375,,44.650001525878906,,170.15377807617188,,41.931007385253906,11.832612037658691,,40.896728515625,150.80650329589844,,,2.700000047683716,58.101783752441406,57.2118034362793,,,13.25644588470459,26.76593780517578,142.8756103515625,556.218017578125,64.61593627929688,11.853981971740723,65.04439544677734,111.88219451904297
2015-04-10,59.28189468383789,,155.0560302734375,107.4216079711914,143.05836486816406,,128.58523559570312,,45.099998474121094,,169.90869140625,,42.06075668334961,12.03662109375,,40.38667678833008,152.3429718017578,,,2.5999999046325684,59.440521240234375,60.10177993774414,,,13.362919807434082,25.939544677734375,143.51296997070312,558.9498901367188,65.06953430175781,11.739227294921875,65.09246826171875,116.89051055908203
2015-04-13,59.67501449584961,,156.2576904296875,105.08311462402344,141.6133575439453,,126.90682983398438,,46.04999923706055,,172.285888671875,,41.1035270690918,12.211488723754883,,41.453147888183594,154.20535278320312,,,2.549999952316284,58.93096160888672,60.44466018676758,,,13.442778587341309,25.893632888793945,144.1024932861328,552.5919799804688,66.10041046142578,11.824864387512207,65.66936492919922,120.55731201171875
2015-04-15,58.928096771240234,,158.8834686279297,104.0880126953125,138.49746704101562,,126.02096557617188,,46.29999923706055,,173.97689819335938,,39.14226531982422,12.094910621643066,,40.2939453125,155.2296600341797,,,2.4000000953674316,57.8858528137207,59.75890350341797,,,13.30968189239502,25.985454559326172,140.724609375,536.8958740234375,66.96636962890625,11.566238403320312,66.58277130126953,118.47051239013672
2015-04-16,58.41704559326172,,157.6818389892578,104.48605346679688,135.56227111816406,,127.88589477539062,,45.75,,171.5996856689453,,38.519004821777344,12.06576919555664,,39.459320068359375,150.80650329589844,,,2.4000000953674316,57.14306640625,59.073143005371094,,,13.362919807434082,25.5722599029541,142.66847229003906,537.6906127929688,66.14164733886719,11.567950248718262,65.52513885498047,120.88523864746094
2015-04-17,57.35562515258789,,158.0823974609375,103.34168243408203,132.8979949951172,,130.31028747558594,,45.349998474121094,,172.45745849609375,,38.06166458129883,12.007478713989258,,39.0420036315918,152.0170440673828,,,2.3499999046325684,57.11714172363281,58.97517776489258,,,13.203202247619629,25.38861656188965,141.0113983154297,531.8294067382812,66.34781646728516,11.852269172668457,65.4770736694336,117.42711639404297
2015-04-20,55.547298431396484,,159.77357482910156,102.69486236572266,132.08517456054688,,128.91159057617188,,44.20000076293945,,167.5805206298828,,37.055503845214844,11.803468704223633,,36.81632995605469,149.45626831054688,,,2.299999952316284,56.141151428222656,57.015872955322266,,,13.25644588470459,24.240848541259766,137.09173583984375,529.6935424804688,64.9458236694336,11.799173355102539,63.31372833251953,114.23729705810547
